Timestamp,Submitted by:,For Webpage:,Name of Presentation,"Date of Presentation (""Mmm YYYY"")",Presented at,"Author(s) (""FirstName LastName"", ...)",Presentation Link (make sure link is accessible to anyone),Event name,"Place of event (""City, StateAbbr"" or ""Virtual"")"
1/14/2022 13:10:44,Amy Carrell,WeTeach_CS,"College, Career, and Military Readiness: Counselor & Administrator Session",October 2021,"2021 Pathways to Texas CCMR Summit (White Settlement, TX)","Ruth Kyle, Amy Carrell","http://bit.ly/CCMR-CS  
",2021 Pathways to Texas CCMR Summit,"White Settlement, TX"
1/14/2022 13:16:01,Amy Carrell,WeTeach_CS,CS Certification through Micro-credentials and Exam Prep,November 2021,"CSEdCon (Los Angeles, CA)",Amy Carrell,https://docs.google.com/presentation/d/1G-m0_orfh7AbmH9LXQIZ_rzIddVr3CjErydSnlMrNF0/edit#slide=id.gf8bdf88f1d_2_31,CSEdCon,"Los Angeles, CA"
1/14/2022 13:17:33,Amy Carrell,WeTeach_CS,CS Teacher Certification Prep for the Praxis with WeTeach_CS resources,November 2021,Code.org Virtual Regional Partner Summit (Virtual),Amy Carrell,https://docs.google.com/presentation/d/1yqPCMGwW5VfDqs380QiSKFfk8SLILlUp8pHRwNVwOlw/edit?usp=sharing,Code.org Virtual Regional Partner Summit,Virtual
4/12/2022 16:23:02,Nicole Martin,Research,Development and validation of the Motivation to Teach Computer Science scale,March 2021,ACM Technical Symposium on Computer Science Education,"Nicole D. Martin, Stephanie N. Baker, Madeline Haynes, Jayce R. Warner",https://utexas.box.com/s/hfoeo3x3vxu4huf8r7znh5gt1u7uxzzi,ACM Technical Symposium on Computer Science Education (SIGCSE),Virtual
4/14/2022 13:26:47,Jayce Warner,Research,Applying CAPE to Assess Equitable CS Education (Panel),May 2021,"Conference on Research in Equitable and Sustained Participation in Engineering, Computing, and Technology (RESPECT)","Carol L. Fletcher, Bryan Cox, Leigh Ann DeLyser, Amy J. Ko",https://ieeexplore.ieee.org/document/9620690,"Conference on Research in Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)",Virtual
4/14/2022 14:30:33,Jayce Warner,Research,The Case for Acknowledging Subjectivity in CS Education Research Data,Mar 2022,ACM Technical Symposium on Computer Science Education,"Monica M. McGill, Jean Ryoo, Allison Scott, Chris Stephenson, Jayce R. Warner",https://doi.org/10.1145/3478432.3499225,ACM Technical Symposium on Computer Science Education (SIGCSE),"Providence, RI"
7/5/2022 11:00:00,Jayce Warner,Research,Equity in Access to and Participation in K-12 Computer Science Education,Mar 2022,ACM Technical Symposium on Computer Science Education,"Madeline L. Haynes, Yiwen Yang, Natashia Bibriescas, Miriam Jacobson, Stephanie N. Baker, Jayce R. Warner",,ACM Technical Symposium on Computer Science Education (SIGCSE),"Providence, RI"
12/20/2022 15:14:22,Miriam Jacobson,Research,Evaluating the Use of Online Data Sharing Platforms ,Nov 2022,,"Miriam Jacobson, Stephanie Baker, Yiwen Yang",,American Evaluation Association Conference,"New Orleans, LA"
1/5/2023 10:21:22,Jayce,WeTeach_CS,Building your Equity Advo-Kit,Jul 2022,,"Josh Childs, Sarah Dunton, Carol Fletcher",,Computer Science Teachers Association (CSTA) Annual Conference,"Chicago, IL"
1/5/2023 10:23:50,Jayce,WeTeach_CS,Girls Want to Code Too,Jul 2022,,"Josh Childs, Carol Fletcher",,Computer Science Teachers Association (CSTA) Annual Conference,"Chicago, IL"
1/5/2023 10:25:45,Jayce,WeTeach_CS,Evaluating Google's CS First Program: Learning and Insights from Teachers Around the Coun try,Jul 2022,,"Madeline Haynes, Brendan Chan, Sheryl Roehl",,Computer Science Teachers Association (CSTA) Annual Conference,"Chicago, IL"
1/5/2023 10:27:09,Jayce,WeTeach_CS,Strategies for Effective and Inclusive CS Teaching,Jul 2022,,"A. Wilson Vasquez, A. Antoine, V. Jones",,Computer Science Teachers Association (CSTA) Annual Conference,"Chicago, IL"
1/5/2023 10:28:35,Jayce,WeTeach_CS,Surviving or Thriving? Supporting Young Black Men in CS,Jul 2022,,"L. Tynes, A. Antoine, E. Foster, D. Saint-Germain",,Computer Science Teachers Association (CSTA) Annual Conference,"Chicago, IL"
1/5/2023 12:05:40,Nicole Martin,Research,Development and validation of the Motivation to Teach Computer Science scale,March 2021,,"Nicole D. Martin, Stephanie N. Baker, Madeline Haynes, Jayce R. Warner",https://utexas.box.com/s/hfoeo3x3vxu4huf8r7znh5gt1u7uxzzi,ACM Technical Symposium on Computer Science Education (SIGCSE),Virtual
1/5/2023 12:13:10,Natashia Bibriescas,Research,Leveraging Dashboards for Examining Equity and Data Reporting,Nov 2022,,"Natashia Bibriescas, Nicole D. Martin, Lisa Garbrecht, Stephanie Baker, Joshua Childs",https://utexas.box.com/shared/static/v7gvbmqfqhvamjixme8pn6hhat1dpgps.pptx,American Evaluation Association Conference,"New Orleans, LA"
1/5/2023 14:33:49,Madeline Haynes,Research,Effective Evaluation Methods to Promote and Assess Equitable Roles in Researcher-Practitioner Partnerships,11/11/2022,,"Madeline Haynes, Lisa Garbrecht, Joshua Childs, Stephanie Baker",,American Evaluation Association Conference,"New Orleans, LA"
1/5/2023 14:45:08,Miriam Jacobson,Research,Best Practices for Evaluating CI and Modeling Environments,Aug 2022,,"Lisa Garbrecht, Stephanie Baker, Miriam Jacobson",https://is-geo.github.io/ISGEO-22/assets/session-docs/Tuesday-Morning/ISGEO%20Evaluation%20Best%20Practices-%20Lisa%20Garbrecht.pdf,ISGEO-22 Workshop on Model-based Reasoning,Virtual
1/5/2023 14:46:18,Miriam Jacobson,Research,Project Logic Models,Aug 2022,,Lisa Garbrecht,https://is-geo.github.io/ISGEO-22/assets/session-docs/Tuesday-Afternoon/ISGEO%20Logic%20Modeling-%20Lisa%20Garbrecht.pdf,ISGEO-22 Workshop on Model-based Reasoning,Virtual
1/10/2023 19:37:30,Carol Fletcher,WeTeach_CS,WeTeach_CS,Feb 2022,,Carol Fletcher,,Region 5 Alternative Certification Cohort,Virtual
1/10/2023 19:41:30,Carol Fletcher,WeTeach_CS,WeTeach_CS and You Can Too!,Feb 2022,,Carol Fletcher,,Career and Technology Association of Texas Winter 2022,"San Antonio, TX"
1/10/2023 19:45:44,Carol Fletcher,WeTeach_CS,"Putting the ""T"" in STEM",Feb 2022,,Carol Fletcher,https://docs.google.com/presentation/d/1-YN41qYcLL-5xe-mGSY9UYoxCECsBBGNjZ_qUZN7uH8/edit#slide=id.g11628630415_0_0,Texas STEM Conference,"San Antonio, TX"
1/10/2023 20:00:26,Carol Fletcher,Research,Gaps in K12 CS Education Research,Apr 2022,,"Monica McGill, Carol Fletcher, Ryan Torbey",,Gaps in CS Education Research,Virtual
1/10/2023 20:20:26,Carol Fletcher,WeTeach_CS,Growing a Robust and Diverse Computer Science Program,June 2022,,"Carol Fletcher, Kimberley Mouser, Jill Schott",https://docs.google.com/presentation/d/1l5k_wjAvIH0OOhNdrNe12jq8NoOxndpsIgIGDhuZ70I/edit?usp=sharing,Texas Association of Secondary School Principals Conference,"Austin, TX"
1/10/2023 20:25:06,Carol Fletcher,WeTeach_CS,Building Your Equity Advo-Kit,July 2022,,"Sarah Dunton, Joshua Childs, Carol Fletcher",,2022 Computer Science Teachers Association Annual Conference,"Chicago, IL"
1/10/2023 20:32:36,Carol Fletcher,Research,From Data to Action: Discovering the Landscape of CS Education,Sep 2022,,"Monica McGill, Anni Reinking, David Weintrop, Carol Fletcher",,CSEdCon 2022,"Ft. Lauderdale, FL"
1/10/2023 20:43:29,Carol Fletcher,WeTeach_CS,BPC Alliances,Sep 2022,,"Valerie Taylor, Richard Ladner, Monica Anderson, Andrea Tirres, Carol Fletcher, Wendy DuBow, Jaime Payton, Kinnis Gosha",,Tapia Conference,"Washington, DC"
1/10/2023 20:47:40,Carol Fletcher,WeTeach_CS,Expanding Access to Computer Science Education,Sep 2022,,"Carina Box, Carol Fletcher, Joshua Childs, Katherine McAden",,UIDP Fall Conference,"Austin, TX"
1/10/2023 20:49:54,Carol Fletcher,WeTeach_CS,Developing Your Equity Advo-Kit,Sep 2022,,"Carol Fletcher, Helen Hu, Jennifer Michalek",,CSEdCon 2022,Ft. Lauderdale
1/10/2023 20:54:56,Carol Fletcher,WeTeach_CS,How to Grow and Support CS Education Pathways,Oct 2022,,"Dan Blier, Carol Fletcher",https://docs.google.com/presentation/d/1xhN-zaFgBTRwccab3JCLSSiXGb93dICV8Dnchaitn8Y/edit#slide=id.p,Region 11 CCRMS Conference,"White Settlement, TX"
1/10/2023 20:59:44,Carol Fletcher,Research,Applying CAPE to Assess Equity in CS Education,Jun 2022,,Carol Fletcher,https://docs.google.com/presentation/d/13MgHGCDlmf-HD0Gy3E9OJ6WaGD5VPf2q_5PXxO7ABOo/edit?usp=sharing,Equity Minded Instruction in CS,Virtual
2/1/2023 10:19:44,Amy Carrell,WeTeach_CS,"I Teach Computer Science: Ideas, Strategies, Best Practices, and Community",02/01/2023,,"Shaina Glass, Dan Blier, Amy Carrell, Henry Ramirez, LeoLin Bowen, and Tory Wadlington",https://bit.ly/3HFH9GC,TCEA ,"San Antonio, TX"
2/28/2023 21:21:44,Amy Carrell,WeTeach_CS,WeTeach_CS and You Can Too!,02/27/2023,,Amy Carrell,https://docs.google.com/presentation/d/1VAbq3ePJDSTcdIua8ZRn93RwYiVJmf5ZTNbQiBrMwjI/edit#slide=id.g210b70e5299_0_0,Region 5 ESC WeTeach_CS and You Can Too! webinar,"Virtual - Beaumont, TX"
3/30/2023 21:35:04,Amy Carrell,WeTeach_CS,WeTeach_CS @ Austin CSTA Chapter Meeting,March 2023,,Amy Carrell,https://docs.google.com/presentation/d/1vo7ic5CUssF_tbdfw7UYG4wWEg25GbGg8BZ82Jk3mNc/edit#slide=id.g210b70e5299_0_0,Austin CSTA Chapter Meeting,Virtual
4/30/2023 13:06:28,Amy Carrell,WeTeach_CS,TIE Conference,April 2023,,Amy Carrell,https://bit.ly/UT-TIE23 ,TIE Conference ,"Rapid City, SD"
5/3/2023 11:53:19,Judy Lau,WeTeach_CS,"DEEP DIVE: 10,000 (Tech Apps) TEKS Under the Sea",04/15/2023,,Judy Lau,,Region 13 STEM Ecosystem Convening,"Austin, TX"
10/2/2023 13:22:02,Judy Lau,WeTeach_CS,K-5 Resources Share-a-Thon,June 2023,,Judy Lau,https://drive.google.com/file/d/1xBdNp2iXZNadOtdO3gr4bPZ4P7xtH5zV/view?usp=drive_link,WTCS Summit 2023,"Houston, TX"
10/2/2023 13:44:13,Allen Antoine,WeTeach_CS,Sports & Hip-Hop: Recruiting and Retaining Young Black Men in CS,March 2023,,"Allen Antoine, Steward Bailey, Dominick Sanders and Delmar Wilson",,"Computer Science Teachers Association 2023 Equity in Action Summit, Virtual Conference",Virtual
10/2/2023 13:45:33,Allen Antoine,WeTeach_CS,Surviving Or Thriving: Supporting Black Male Involvement in Computer Science,March 2023,,"Allen Antoine, Michael Johnson, Jonathan Nicholson, Leon Tynes, and Delmar Wilson",,Computer Science Teachers Association 2023 Equity in Action Summit,Virtual
10/2/2023 13:47:07,Allen Antoine,Research,How Do We Redefine and Rebuild Capacity in Computing Education in the Post-COVID Educational Environment? (Panel),March 2023,,"Allen Antoine, Carina Box, Bryan Cox, Sarah Dunton, and Jen Rosato",,SIGCSE Technical Symposium on Computer Science Education,"Toronto, OR, CA"
10/2/2023 13:50:27,Allen Antoine,Research,Building Capacity Among Black Computer Science Educators (Panel),March 2023,,"Allen Antoine, Anita Debarlaben, Vanessa Jones, Donald Saint-Germain, Angelica Thompson, and Leon Tynes  ",,SIGCSE Technical Symposium on Computer Science Education,"Toronto, OR, CA"
10/2/2023 13:51:28,Allen Antoine,Research,ScIP: An Introduction to Scaling Effective and Inclusive CS Teaching,May 2023,,Allen Antoine and Andrea Vasquez-Wilson,,Expanding Computing Education Pathways (ECEP) Summit 2023,"Oakland, CA"
10/2/2023 13:52:24,Allen Antoine,WeTeach_CS,Computational Thinking Classrooms,June 2023,,Allen Antoine,,Ed Farm Future of Learning Summit 2023,"Birmingham, AL"
10/2/2023 13:53:31,Allen Antoine,WeTeach_CS,CompSci for the Culture IV: Making Students Future Proof,June 2023,,"Allen Antoine, Krystal Chatman, and Candyce Monroe",,WeTeach_CS Summit,"Houston, TX"
10/2/2023 13:54:14,Allen Antoine,WeTeach_CS,Closing the Opportunity Gap: Strategies for Advocating for Computer Science Education for All Students (Panel),June 2023,,"Allen Antoine, Shaina Glass, Dan Blier, and Shawdee Monroe",,WeTeach_CS Summit,"Houston, TX"
10/2/2023 13:55:07,Allen Antoine,Research,Strategies for Effective and Inclusive CS Teaching,June 2023,,"Allen Antoine, Vanessa Jones, and Andrea Vasquez-Wilson",, International Society for Technology in Education 2023 Annual Conference,"Philadelphia, PA"
10/2/2023 13:56:51,Allen Antoine,Research,Strategies for Effective and Inclusive CS Teaching,July 2023,,Allen Antoine and Andrea Vasquez-Wilson,,Computer Science Teachers Association 2023 Annual Conference,Virtual
10/3/2023 17:50:50,Lisa Garbrecht,Research,Creating and Modifying Existing Surveys to fit Your CS Education Research Needs,March 2023,,"Torbey R, McGill M, Garbrecht L. ",,54th ACM Technical Symposium on Computer Science Education,"Toronto, Canada"
10/3/2023 17:52:47,Lisa Garbrecht,Research,Work in Progress: Toward an Augmented Reality (AR) Learning Environment for Hispanic High School Students to Visualize and Embody STEM Spatial Transformations.,June 2023,,"Tillman D.A., Yan W., Song A., Liew J., Lim K., Garbrecht L. ",,American Society for Engineering Education Annual Conference & Exposition,"Baltimore, MD"
10/3/2023 17:58:04,Lisa Garbrecht,WeTeach_CS,STEM Evaluation Services and K20 Teacher Professional Development for Broader Impacts,June 2023,,Lisa Garbrecht,https://utexas.box.com/s/rird6haflfiocf5cv15c0b82j73vsn6t,UT OVPR Annual Research Proposal Resource Fair,Virtual
10/3/2023 18:03:14,Lisa Garbrecht,Research,Using Data and Continuous Improvement Processes to Advance Equity,November 2022,,"Lisa Garbrecht, Nicole Martin, Madeline Haynes",,Launch Years Initiative Kickoff Meeting,"Austin, TX"
10/3/2023 18:04:08,Lisa Garbrecht,Research,Logic Models,November 2022,,"Lisa Garbrecht, Nicole Martin",,Launch Years Initiative Kickoff Meeting,"Austin, TX"
10/3/2023 18:07:10,Lisa Garbrecht,Research,Using Data to Inform Strategies and Assess Outcomes and Equitable Impact,September 2023,,"Lisa Garbrecht, Nicole Martin, Stephanie Baker, Madeline Haynes, Mona Baniahmadi",,Launch Years Initiative Cross State Learning Session,Virtual
10/10/2023 12:07:00,Carol Fletcher,WeTeach_CS,Effective programs for increasing diversity in computing,"September, 2022",,"Valerie Taylor, Dilma Da Silva, Wendy Dubow, Carol Fletcher, Ann Gates, Kinnis Gosha, Richard Ladner, Jamie Payton",,2022 CMD-IT/ACM Richard Tapia Celebration of Diversity in Computing Conference,"Washington, D.C."
10/10/2023 12:15:27,Carol Fletcher,Research,Evidence-Based CS Education Trends that will Influence Your K-12 Initiatives,"September, 2022",,"Monica McGill, Anni Reinking, Carol Fletcher, David Weintrop",,CSEdCon 2022,TBD
10/10/2023 12:17:13,Carol Fletcher,WeTeach_CS,Growing A Robust and Diverse Computer Science Program,"October, 2022",,Carol Fletcher,,"Invited Webinar, Texas Association of Secondary School Principals",Virtual
10/10/2023 12:18:36,Carol Fletcher,WeTeach_CS,STEM & CS Policy in the 88th Texas Legislature,"January, 2023",,"Carol Fletcher, Austin Hall",,Greater Austin STEM Ecosystem Corporate Convening,"Austin, TX"
10/10/2023 12:19:53,Carol Fletcher,Research,CAPE: A Framework for Assessing Equity in Educational Ecosystems,"March, 2023",,Carol Fletcher,,"Invited talk, Center for Education Innovation Research, North Carolina State University",Virtual
10/10/2023 12:22:41,Carol Fletcher,Research,From Compact to Classroom: New States Rallying for CS K12 Education,"Feb, 2023",,"S. Boyington, D. Sander, A. Owens, Carol Fletcher",,Infosys Crossroads,"Phoenix, AZ"
10/10/2023 12:23:21,Carol Fletcher,WeTeach_CS,Panel of Botswana Teachers - Summit Reflections,"March, 2023",,Carol Fletcher,,CsEdBotswana Summit,"Gaborone, Botswana"
10/10/2023 12:24:09,Carol Fletcher,WeTeach_CS,CAPE Framework: Designing a National Ecosystem to Support Computer Science Education in Botswana,"March, 2023",,Carol Fletcher,,CSEdBotswana University and Ministry Planning Meeting,"Gaborone, Botswana"
10/10/2023 12:25:05,Carol Fletcher,WeTeach_CS,Addressing Inequities in K-12 Computing Education at the Roots,"March, 2023",,Carol Fletcher,,NCWIT K-12 Alliance Huddle,Virtual
10/10/2023 12:28:23,Carol Fletcher,Research,Evidence-Based CS Education Trends That Will Influence Your K-12 Initiatives,July 2023,,"Monica McGill, David Weintrop, Carol Fletcher, Karsten Seipp",,Computer Science Teachers Association Annual Conference,Virtual
10/10/2023 12:29:11,Carol Fletcher,WeTeach_CS,Interrogating the Roots in Inequity in Computer Science,"May, 2023",,Carol Fletcher,,"ECEP Summit,","Oakland, CA"
10/10/2023 12:30:18,Carol Fletcher,WeTeach_CS,Hidden in Plain View: Confronting Systemic Inequity in K12 CS Education,"May, 2023",,"Carol Fletcher, Jackie Corricelli",,NCWIT Summit,"Denver, CO"
10/10/2023 12:30:53,Carol Fletcher,WeTeach_CS,Texas Computer Science Education: Celebrating Success and Setting New Goals,"June, 2023",,Carol Fletcher,,WeTeach_CS Summit,"Houston, TX"
10/23/2023 15:43:48,Nicole Martin,Research,"Multiple Data Sources, Different Audiences: Telling a Coherent Story about a Science Curriculum Field Test​",October 2023,,"Carol Pazera, Madeline Haynes, Nicole D. Martin",https://utexas.box.com/s/fwxoqnb67gwa5tstz12ks6zjm6np7yuq,Evaluation 2023,"Indianapolis, IN"
